listing_id,date
138381,2011-06-13
138381,2011-06-18
138381,2011-07-05
138381,2011-07-09
138381,2011-08-02
138381,2011-08-11
138381,2011-08-25
138381,2011-08-29
138381,2011-09-13
138381,2011-09-15
138381,2011-09-18
138381,2011-10-08
138381,2012-07-03
138381,2012-07-08
138381,2012-07-16
138381,2012-07-23
138381,2012-07-29
138381,2012-08-02
138381,2012-08-07
138381,2012-08-10
138381,2012-08-15
138381,2012-08-26
138381,2012-09-03
138381,2012-09-05
138381,2013-07-08
138381,2013-07-12
138381,2013-07-18
138381,2013-07-24
138381,2013-08-02
138381,2013-08-10
138381,2013-08-21
138381,2013-08-23
138381,2013-09-30
138381,2013-10-08
138381,2013-10-15
138381,2014-07-15
138381,2014-07-22
138381,2014-07-25
138381,2014-07-28
138381,2014-07-31
138381,2014-08-06
138381,2014-09-17
138381,2015-06-28
138381,2015-07-14
138381,2015-07-17
138381,2015-07-22
138381,2015-07-30
138381,2015-08-01
138381,2015-08-04
138381,2015-08-07
138381,2015-08-17
138381,2015-08-22
138381,2015-08-30
138381,2015-09-11
138381,2015-09-18
138381,2015-10-02
138381,2015-10-15
138381,2015-12-26
138381,2016-05-14
138381,2016-05-31
138381,2016-06-02
138381,2016-07-11
138381,2016-07-12
138381,2016-07-16
138381,2016-07-25
138381,2016-07-28
138381,2016-08-01
138381,2016-08-09
138381,2016-08-13
138381,2016-08-17
138381,2016-08-21
138381,2016-08-26
138381,2016-09-04
138381,2016-09-06
138381,2016-09-19
138381,2016-12-30
138381,2017-01-01
138381,2017-05-16
138381,2017-05-22
138381,2017-06-03
138381,2017-06-13
138381,2017-07-01
138381,2017-07-16
138381,2017-07-19
138381,2017-07-27
138381,2017-08-01
138381,2017-08-05
138381,2017-08-08
138381,2017-08-10
138381,2017-08-14
138381,2017-08-17
138381,2017-08-20
138381,2017-08-23
138381,2017-09-02
138381,2017-09-06
138381,2017-09-24
138381,2017-10-07
138381,2017-10-12
138381,2017-12-31
138381,2018-04-22
138381,2018-06-30
138381,2018-07-01
138381,2018-07-03
138381,2018-07-07
138381,2018-07-08
138381,2018-07-10
138381,2018-07-14
138381,2018-07-17
138381,2018-07-20
138381,2018-07-22
138381,2018-08-02
138381,2018-08-03
138381,2018-08-05
138381,2018-08-11
138381,2018-08-14
138381,2018-08-15
