id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46361521,Welcome McGill Concordia people,375213874,Chiachi,,Ville-Marie,45.50618,-73.57038,Entire home/apt,1350,1,0,,,1,305,0,
46607539,Upscale & Spacious 2BR - Perfect for Business!,66340481,Daniel,,Le Plateau-Mont-Royal,45.51283,-73.57062,Entire home/apt,189,20,0,,,37,37,0,
46608622,Hotel style basement loft in the Heart of Montreal,247760876,Serendipity Homes,,Ahuntsic-Cartierville,45.55741,-73.63804,Entire home/apt,90,5,29,2022-09-03,1.42,6,127,25,
46376772,**Mile End causy/chill/peacefull  Appartement**,14090508,Emma-Lou,,Le Plateau-Mont-Royal,45.52566,-73.60204,Entire home/apt,120,2,41,2022-08-29,1.88,1,247,28,
46608775,Centrally located 3 bedroom Haven + Parking!,247760876,Serendipity Homes,,Ahuntsic-Cartierville,45.55884,-73.63965,Entire home/apt,150,5,39,2022-09-11,1.97,6,114,28,
46377079,Bohemian Artist Haven w/ parking and secret garden,75406873,Lesley,,Le Plateau-Mont-Royal,45.5217,-73.57498,Entire home/apt,255,2,19,2022-02-06,0.87,3,0,8,
46380327,Cozy and Light Home,25978393,Mari,,Verdun,45.45751,-73.57468,Entire home/apt,65,7,0,,,2,0,0,
46616751,Corporate Stays | Hexagone 2 | Large 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49156,-73.55588,Entire home/apt,169,30,0,,,183,50,0,
46391253,Beautiful Junior Suite in Plateau-Mont-Royal,38555003,Trylon,,Le Plateau-Mont-Royal,45.5099,-73.57293,Entire home/apt,44,30,4,2021-09-19,0.19,7,0,1,
46398504,Beautiful apartment in the heart of Montreal!,300642178,Rose,,Villeray-Saint-Michel-Parc-Extension,45.54446,-73.62976,Entire home/apt,100,1,134,2022-09-03,6.08,1,196,86,306084
46418464,Luxury 1 bedroom apartment Gym is open,77034663,Alaa,,Ville-Marie,45.49591,-73.56903,Entire home/apt,49,5,0,,,2,0,0,
46617353,Loft Prestige,189723289,Eric,,Ville-Marie,45.51772,-73.55837,Entire home/apt,1343,1,26,2022-08-28,1.21,2,197,18,
46431787,Top floors Very Bright one bedroom apartment,192894459,Dj,,Le Plateau-Mont-Royal,45.50766,-73.57437,Entire home/apt,68,31,1,2022-06-07,0.30,4,151,1,
46433869,Nice fully renovated flat in heart of Montreal,351928901,Mt,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48797,-73.64094,Entire home/apt,57,32,45,2022-04-15,2.07,3,40,13,
46441252,Room Steps to Metro/HEC/Polytechnique/Downtown,146743514,Dalya,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49152,-73.62413,Private room,91,5,3,2022-06-03,0.14,22,347,2,
46441560,Room female only steps to Polytechnique/Metro,146743514,Dalya,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49337,-73.62561,Private room,62,28,7,2022-02-26,0.32,22,346,1,
46617763,Corporate Stays | Hexagone 2 | Wide-Open 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.4928,-73.55604,Entire home/apt,169,30,0,,,183,0,0,
46626589,Brand new 2BR perfect for Corporate travelers!,195501369,Julio,,Le Plateau-Mont-Royal,45.51494,-73.57011,Entire home/apt,189,28,3,2022-08-30,0.15,49,37,2,
46629832,Doux séjour,136662971,Gregory,,Ville-Marie,45.52851,-73.54999,Private room,40,2,9,2021-12-29,0.78,2,0,9,
46636622,Corporate Stays | Hexagone 2 | Amazing 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49221,-73.55794,Entire home/apt,169,30,0,,,183,74,0,
46443421,Quiet apartment near metro and downtown,356522751,Natalia,,Le Sud-Ouest,45.45272,-73.595,Entire home/apt,85,1,55,2022-08-25,2.49,3,298,39,
46444593,Peaceful 1 bdroom aprtment near metro and downtown,356522751,Natalia,,Le Sud-Ouest,45.45181,-73.59426,Entire home/apt,83,1,41,2022-09-08,1.86,3,336,26,
46469393,Suite Junior in Downtown of Montreal,38555003,Trylon,,Le Plateau-Mont-Royal,45.51165,-73.57112,Entire home/apt,47,30,1,2021-02-04,0.05,7,0,0,
46637633,Corporate Stays | Hexagone 2 | Majestic 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49264,-73.55736,Entire home/apt,169,30,0,,,183,80,0,
46637805,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49768,-73.58371,Entire home/apt,65,32,8,2022-08-01,0.39,70,348,4,
46638153,Strawberry Stays! Secret to sweet dreams!,128430021,Philippe,,Mercier-Hochelaga-Maisonneuve,45.54825,-73.54099,Entire home/apt,117,1,173,2022-09-07,8.01,17,51,101,CITQ : 299589
46642649,Cosy condo with nice private backyard,3644408,Frédérique,,Rosemont-La Petite-Patrie,45.54132,-73.58631,Entire home/apt,200,3,0,,,1,86,0,
46483150,Sky Loft Old Montreal,56274119,Julien,,Ville-Marie,45.50042,-73.55713,Entire home/apt,172,2,49,2022-08-28,2.24,4,54,25,
46484385,Corporate Stays | Hexagone | Modern 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49296,-73.55652,Entire home/apt,194,30,0,,,183,33,0,
46654678,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49671,-73.58168,Entire home/apt,65,32,7,2022-07-02,0.34,70,328,4,
46654684,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.4958,-73.58249,Entire home/apt,66,32,5,2022-08-23,0.24,70,342,2,
46485636,Feel Home atmosphere in the Heart of Downtown,369822056,Fariborz,,Ville-Marie,45.495,-73.58286,Entire home/apt,94,1,65,2022-08-25,3.06,8,97,42,
46656228,Corporate Stays | Hexagone 2 | Stylish 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49217,-73.55588,Entire home/apt,169,30,0,,,183,88,0,
46487646,Corporate Stays | Hexagone | Contemporary 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49357,-73.55868,Entire home/apt,194,30,0,,,183,81,0,
46660299,Corporate Stays | Hexagone 2 | Bright 2 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49253,-73.55627,Entire home/apt,169,30,0,,,183,88,0,
