id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2891101,Stylish room for female only. Close to city 3km,13490423,Marie,,Dublin City,53.329,-6.28211,Private room,87,4,109,2022-08-31,1.09,2,104,19,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35846,-6.27528,Entire home/apt,106,3,240,2022-08-23,2.12,1,4,10,
2903645,"#1 Dublin04, 2km UCD  5 mns train 2 City, Beach",14746247,Karen,,Dublin City,53.32136,-6.20679,Private room,49,1,27,2019-09-24,0.27,2,0,0,
2923471,Lovely quiet room for female.  20 mins to city,13490423,Marie,,Dublin City,53.32958,-6.2836,Private room,90,5,55,2019-09-08,0.54,2,56,0,
1173029,Great house in vibrant Stoneybatter,3448346,Ian,,Dublin City,53.35107,-6.27992,Entire home/apt,271,3,329,2022-09-04,3.73,1,44,22,
2962455,Cosy bedroom,12756248,Ola,,Dublin City,53.35401,-6.29446,Private room,110,1,0,,,1,0,0,
2985355,No longer hosting,15222813,Not Available,,Fingal,53.39251,-6.14205,Private room,1000,100,47,2020-01-13,0.90,1,358,0,
1184087,Amazing 5 Bedrooms / 4 bathroom. Close to city 6K.,6476854,Therese,,Dublin City,53.34567,-6.34929,Entire home/apt,336,5,18,2022-08-14,0.16,8,0,1,
3009793,"""Parnell"" studio, Kilmainham",790601,Grainne,,Dublin City,53.33761,-6.32431,Entire home/apt,114,3,31,2022-09-05,0.32,5,59,9,
3012532,Beautiful Seaside Beach Apartment,15351872,Mary & Jason,,Fingal,53.52738,-6.08674,Entire home/apt,146,2,128,2022-09-07,1.28,5,277,20,
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,270,5,72,2022-09-08,0.65,1,132,10,
3026802,No2 friendly family home,6837751,Siobhan,,South Dublin,53.34033,-6.43476,Private room,31,14,11,2022-05-30,0.11,3,14,2,
1255270,No1 friendly family home,6837751,Siobhan,,South Dublin,53.33893,-6.43476,Private room,40,30,10,2021-11-29,0.09,3,121,1,
3031518,Luxury Double Room (en-suite),14169546,Maeve,,Dublin City,53.36238,-6.18458,Private room,123,1,66,2022-09-10,0.66,4,345,17,
3042183,Luxury Double  room (The Green Room),14169546,Maeve,,Dublin City,53.36297,-6.18643,Private room,114,1,35,2022-08-28,0.35,4,345,19,
1270261,Old Country house,474328,James,,Fingal,53.56548,-6.31617,Private room,50,1,9,2022-04-17,0.09,1,316,2,
3042237,Single room to let (The Green Room),14169546,Maeve,,Dublin City,53.3628,-6.18427,Private room,70,1,35,2022-08-28,0.35,4,327,19,
3048852,"Super Central Location & Quiet, 2min to Temple Bar",12990935,Fran,,Dublin City,53.3479,-6.26122,Private room,63,30,82,2018-09-24,0.83,1,0,0,
1276002,City Centre Dublin HOME *1.5 km from Croke Park*,6938108,Caroline,,Dublin City,53.35176,-6.23248,Entire home/apt,593,2,70,2022-09-11,0.66,1,337,8,
3076665,Centre 3km -Ensuite- B&B,15658359,Mary,,Dublin City,53.36208,-6.27934,Private room,71,2,139,2018-08-06,1.37,1,0,0,
1296492,"Charming & clean - Dublin, Aviva",4580868,Brendan And Fernanda,,Dublin City,53.33986,-6.22244,Private room,48,2,54,2017-12-20,0.50,1,0,0,
1341478,Lovely old world Dublin Central,408378,Eddie,,Dublin City,53.3525,-6.29794,Private room,141,3,138,2022-08-26,1.56,3,0,25,
3088332,Quiet Double Room Great City Centre Location,15617710,Jack,,Dublin City,53.34308,-6.27463,Private room,51,2,20,2019-07-08,0.26,1,0,0,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Ayelet & Steve,,Dublin City,53.33677,-6.28899,Private room,90,3,140,2022-09-05,1.27,1,0,10,
3096382,Old City Temple Bar- Large Roof Terrace,15369809,Sean,,Dublin City,53.34525,-6.26582,Entire home/apt,206,4,230,2022-08-29,2.28,3,226,43,
